MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
001,SAP_BC_USR_CUA_CLIENT_PFCG,000001,T_YA670533,,X,A
001,SAP_BC_USR_CUA_CLIENT_RFC,000001,T_Y2190047,,X,A
001,SAP_BC_USR_CUA_SETUP_CENTRAL,000001,T_Y2190048,,X,A
001,SAP_BC_USR_CUA_SETUP_CLIENT,000001,T_YA670210,,X,A
001,SAP_BC_UWL_ADMIN_USER,000001,T_YA670144,,X,A
001,SAP_BC_UWL_END_USER,000001,T_YA670145,,X,A
001,SAP_BC_UWL_SERVICE,000001,T_BI660089,,X,A
001,SAP_BC_WDHC_ADMINISTRATOR,000001,T_LA930135,,X,A
001,SAP_BC_WDHC_POWERUSER,000001,T_LA930134,,X,A
001,SAP_BC_WDHC_START,000001,T_Y3670529,,X,A
001,SAP_BC_WDHC_TRANSLATOR,000001,T_LA930136,,X,A
001,SAP_BC_WEBSERVICE_ADMIN,000001,T_BA760008,,X,
001,SAP_BC_WEBSERVICE_ADMIN_BIZ,000001,T_EZ980005,,X,
001,SAP_BC_WEBSERVICE_ADMIN_TEC,000001,T_EZ980006,,X,
001,SAP_BC_WEBSERVICE_CONFIGURATOR,000001,T_LA930056,,X,
001,SAP_BC_WEBSERVICE_CONSUMER,000001,T_EZ980007,,X,
001,SAP_BC_WEBSERVICE_DEBUGGER,000001,T_EZ980008,,X,
001,SAP_BC_WEBSERVICE_OBSERVER,000001,T_EZ980009,,X,
001,SAP_BC_WEBSERVICE_PI_CFG_SRV,000001,T_LA930142,,X,
001,SAP_BC_WEBSERVICE_SERVICE_USER,000001,T_EZ980010,,X,
001,SAP_BPC_ADMIN,000001,T_K1300004,,X,A
001,SAP_BPC_BICS_REPORTER,000001,T_EF107532,,X,A
001,SAP_BPC_BTCH_JOB,000001,T_EF107526,,X,A
001,SAP_BPC_CLM_EXPORT,000001,T_EF107516,,X,A
001,SAP_BPC_CLM_IMPORT,000001,T_EF107517,,X,A
001,SAP_BPC_MDX_REPORTER,000001,T_EF107531,,X,A
001,SAP_BPC_SERVICE,000001,T_EF056734,,X,A
001,SAP_BPC_SYSADMIN,000001,T_K1300003,,X,A
001,SAP_BPC_TABU_DIS,000001,T_EF107534,,X,A
001,SAP_BPC_USER,000001,T_K1300002,,X,A
001,SAP_BPC_WS_USER,000001,T_EF107530,,X,A
001,SAP_BPT_GBT_ADMINISTRATION,000001,T_56184361,,X,A
001,SAP_BW_BPC_BPF_SYSTEM_REPORT,000001,T_KW650276,,X,A
001,SAP_BW_BPC_WS_SYSTEM_REPORT,000001,T_KW650277,,X,A
001,SAP_BW_CCMS_REPORTING,000001,T_BA850009,,X,A
001,SAP_BW_CCMS_SETUP,000001,T_BH040020,,X,A
001,SAP_BW_SOLUTION_MANAGER,000001,T_BK490045,,X,A
001,SAP_BW_WORKSPACE_DESIGNER,000001,T_KW650193,,X,A
001,SAP_B_ALE_GRP_AD_T_56184456,000001,T_56184456,,X,A
001,SAP_B_ALE_GRP_AL_T_56184457,000001,T_56184457,,X,A
001,SAP_CA_ASU_ADMINISTRATOR,000001,T_C4090011,,X,
001,SAP_CA_BFA_DATATRANSFER,000001,T_BE060028,,X,
001,SAP_CA_BP_DEVELOPER_AG,000001,T_54000018,,X,A
001,SAP_CA_BP_IDM_INTEGRATION,000001,T_LB090008,,X,A
001,SAP_CBTA_MANAGED,000001,T_C2340389,,X,
001,SAP_CCA_ALL,000001,T_C2340146,,X,A
001,SAP_CCM_PRN_PAL_CLIENT_SYSTEM,000001,T_Y3670201,,X,
001,SAP_CDMC_ST14,000001,T_C4090044,,X,A
001,SAP_CTS_PLUS,000001,S_ACTSPLUS,,X,A
001,SAP_CTS_PLUS_ORG_TEMPLATE,000001,S_ECTSOTPL,,X,A
001,SAP_CTS_PLUS_TRANSPRT_TEMPLATE,000001,S_ECTSTTPL,,X,A
001,SAP_ECATT_ADM,000001,S_ECATTADM,,X,A
001,SAP_ECET,000001,S_ECET_RFC,,X,A
001,SAP_ECH_ADMIN,000001,T_S3420031,,X,A
001,SAP_ECH_PROCESSOR,000001,T_S3420032,,X,A
001,SAP_ECSHOW,000001,S_ECSHOW__,,X,A
001,SAP_ECST,000001,S_ECST____,,X,A
001,SAP_EPM_REF_APPS_BASIC_AUTH,000001,T-NL310001,,X,A
001,SAP_ESH_BOS_ADMIN,000001,T_Y2190078,,X,A
001,SAP_ESH_BOS_RFC_ENDUSER,000001,T_LA930183,,X,A
001,SAP_ESH_CR_ADMIN,000001,T_BE420342,,X,
001,SAP_ESH_CUST_QUERY_LOG,000001,T_BE420365,,X,A
001,SAP_ESH_DATA_PUSH,000001,T_BE420334,,X,
001,SAP_ESH_DELEGATED_SEARCH,000001,T_BE420373,,X,A
001,SAP_ESH_DISPLAY_QUERY_LOG,000001,T_BE420364,,X,A
001,SAP_ESH_REORG_QUERY_LOG,000001,T_BE420363,,X,A
001,SAP_ESH_SEARCH_CATEG,000001,T_BE420370,,X,A
001,SAP_ESH_SEARCH_USER,000001,T_LA930162,,X,A
001,SAP_ESH_SUPPORT,000001,T_LA930185,,X,A
001,SAP_ESH_TAU,000001,T_BE420371,,X,A
001,SAP_ESH_TRANSPORT,000001,T_BE420343,,X,A
001,SAP_FPM_ECATT,000001,T_Y3670158,,X,A
001,SAP_FRAMEWORK_REGISTRY,000001,T_BE110941,,X,
001,SAP_GKFM_ADMINISTRATOR,000001,T_Y3670162,,X,
001,SAP_GKFM_USER,000001,T_Y3670163,,X,
001,SAP_HR_PA_XF_EXPERT,000001,T_PH500038,,X,A
001,SAP_IDOC_ADMINISTRATION,000001,T_56184353,,X,
001,SAP_IDOC_EVERYONE,000001,T_56184354,,X,A
001,SAP_IDOC_IMPLEMENTATION,000001,T_56184351,,X,A
001,SAP_ILM_WP_ADMIN,000001,T_AA360621,,X,
001,SAP_ILM_WP_REPORTING,000001,T_S3420022,,X,
001,SAP_INTNW_BMT_WFM_ADMIN,000001,T_Y3670613,,X,A
001,SAP_INTNW_BMT_WFM_CONTROLLER,000001,T_Y3670614,,X,A
001,SAP_INTNW_BMT_WFM_DEVELOPER,000001,T_Y3670615,,X,A
001,SAP_INTNW_BMT_WFM_GP_ADMIN,000001,T_Y3670735,,X,A
001,SAP_INTNW_BMT_WFM_GP_SERV_USER,000001,T_Y3670736,,X,A
001,SAP_INTNW_BMT_WFM_NWBC_END_USE,000001,T_Y3670362,,X,A
001,SAP_INTNW_BMT_WFM_PROCESS,000001,T_Y3670737,,X,A
001,SAP_INTNW_CCM_DATA_ARCHIVING,000001,T_Y3670242,,X,A
001,SAP_INTNW_CM_USER,000001,T_Y3670241,,X,A
001,SAP_INTNW_FDT_ADMINISTRATOR,000001,T_S9450168,,X,A
001,SAP_INTNW_ILM_ADMIN_RM,000001,T_S9450018,,X,A
001,SAP_INTNW_ILM_ADMIN_RW_V3,000001,T_S9450021,,X,A
001,SAP_INTNW_ILM_ARCHIVELINK,000001,T_Y3670656,,X,A
001,SAP_INTNW_ILM_AUDIT_AREA,000001,T_Y3670759,,X,A
001,SAP_INTNW_ILM_CHECKSUM,000001,T_Y3670657,,X,A
001,SAP_INTNW_ILM_DESTROY,000001,T_Y3670658,,X,A
001,SAP_INTNW_ILM_GCDE,000001,T_S3420071,,X,
001,SAP_INTNW_ILM_IRM,000001,T_Y3670659,,X,A
001,SAP_INTNW_ILM_LHM_ADMIN,000001,T_Y3670660,,X,A
001,SAP_INTNW_ILM_LHM_EXPERT,000001,T_Y3670661,,X,A
001,SAP_INTNW_ILM_LOB_RM,000001,T_S9450019,,X,A
001,SAP_INTNW_ILM_LOB_RW_V3,000001,T_S9450020,,X,A
001,SAP_INTNW_ILM_SB,000001,T_Y3670662,,X,A
001,SAP_INTNW_ILM_SRS_REQUESTS,000001,T_Y3670663,,X,A
001,SAP_INTNW_ILM_TABLE_MAINT,000001,T_S9450107,,X,A
001,SAP_INTNW_ILM_WP_ADMIN,000001,T_S9450012,,X,A
001,SAP_INTNW_ILM_WP_REPORTING,000001,T_S9450010,,X,A
001,SAP_IQM_IC_ADMIN,000001,T_BE420081,,X,A
001,SAP_IV_DC_CONFIG,000001,T_C2340494,,X,A
001,SAP_KM_KW_ADMINISTRATOR,000001,T_BE420031,,X,
001,SAP_KM_KW_ALL_AREAS_DISPLAY,000001,T_BE420034,,X,
001,SAP_KM_KW_ALL_AREAS_EDIT,000001,T_BE420035,,X,
001,SAP_KM_KW_ALL_AREAS_TRANSLATE,000001,T_BE420036,,X,
001,SAP_KM_KW_CREATE_OFFLINE,000001,T_BE420037,,X,
001,SAP_KM_KW_IWBHELP_EDIT,000001,T_BE420039,,X,
001,SAP_KM_KW_IWBMISC_EDIT,000001,T_BE420040,,X,
001,SAP_KM_KW_IWBTRAIN_EDIT,000001,T_BE420041,,X,
001,SAP_KM_KW_KWNET_EDIT,000001,T_BE420042,,X,
001,SAP_KM_KW_PAW_ADMIN_TEST,000001,T_BE420060,,X,
001,SAP_KM_KW_QM_ADMINISTRATOR,000001,T_BE420049,,X,
001,SAP_KM_KW_QM_DISPLAY_EXTERN,000001,T_BE420051,,X,
001,SAP_KM_KW_QM_DISPLAY_INTERN,000001,T_BE420052,,X,
001,SAP_KM_KW_QUALITY_CONTROL,000001,T_BE060099,,X,A
001,SAP_KM_KW_REMOTE_SUPPORT,000001,T_BE060108,,X,
001,SAP_KM_KW_RFC_CPIC_USER,000001,T_BE420045,,X,
001,SAP_KM_KW_XML_TRAIN_EDIT,000001,T_BE420058,,X,
001,SAP_MI_ADMIN,000001,T_YA670102,,X,A
001,SAP_MI_SERVICE,000001,T_YA670101,,X,A
001,SAP_PAGEBUILDER_ADMIN,000001,T_Y2190096,,X,A
001,SAP_PAGEBUILDER_DISPLAY,000001,T_Y2190099,,X,A
001,SAP_PAGEBUILDER_ECATT,000001,T_Y2190136,,X,A
001,SAP_PAGEBUILDER_ENDUSER,000001,T_Y2190097,,X,A
001,SAP_PAGEBUILDER_ENDUSER_EXAMPL,000001,T_Y2190098,,X,A
001,SAP_PAGEBUILDER_REMOTE,000001,T_Y3670203,,X,
001,SAP_PAGEBUILDER_RFC,000001,T_Y3670011,,X,A
001,SAP_PI_CCMS_SETUP,000001,T_ZC020001,,X,A
001,SAP_PLM_AUDITOR,000001,T_LB090007,,X,A
001,SAP_PPF_ADMINISTRATOR,000001,T_BE420030,,X,A
001,SAP_PPF_CONFIGURATOR,000001,T_BE420029,,X,A
001,SAP_PPF_CUSTOMIZER,000001,T_BE420028,,X,A
001,SAP_PPO_ADMIN,000001,T_S3420034,,X,A
001,SAP_PPO_PROCESSOR,000001,T_S3420035,,X,A
001,SAP_PS_RM_HEAD,000001,T_KM170006,,X,A
001,SAP_PS_RM_USER,000001,T_KM170005,,X,A
001,SAP_RFC_CORR_DSP,000001,T_Y3670247,,X,A
001,SAP_RFC_CORR_REQ,000001,T_B0960143,,X,A
001,SAP_RRR_PROJ,000001,T_56184217,,X,A
001,SAP_RRR_USER,000001,T_56184218,,X,A
001,SAP_SAFE_USER,000001,T_Y3670176,,X,A
001,SAP_SAML2_CFG_ADM,000001,T_Y3670106,,X,A
001,SAP_SAML2_CFG_DISPLAY,000001,T_Y3670104,,X,A
001,SAP_SATELLITE_E2E,000001,T_SD410295,,X,A
001,SAP_SDCCN_EXE,000001,T_C2340008,,X,A
001,SAP_SECURITY_OPTIMIZATION,000001,T_C4090068,,X,
001,SAP_SLD_ADMINISTRATOR,000001,T_B0960159,,X,A
001,SAP_SLD_CONFIGURATOR,000001,T_YD160027,,X,A
001,SAP_SLD_CONTENT_SYNC,000001,T_Y3670129,,X,A
