MANDT,PROFN,AKTPS,SUBPROF
001,S_DMOD01Z,A,S_DDIC_AEW
001,S_DMOD01Z,A,S_UDMO01Z
001,S_DMOD01Z,A,S_UENO01Z
001,S_DMOD02,A,S_DDIC_AEW
001,S_DMOD02,A,S_UDMO02
001,S_DMOD02,A,S_UENO02
001,S_DMOD02Z,A,S_DDIC_AEW
001,S_DMOD02Z,A,S_UDMO02Z
001,S_DMOD02Z,A,S_UENO02Z
001,S_DMOD03,A,S_DDIC_AEW
001,S_DMOD03,A,S_UDMO03
001,S_DMOD03,A,S_UENO03
001,S_DMOD03Z,A,S_DDIC_AEW
001,S_DMOD03Z,A,S_UDMO03Z
001,S_DMOD03Z,A,S_UENO03Z
001,S_DMOD04,A,S_DDIC_AEW
001,S_DMOD04,A,S_UDMO04
001,S_DMOD04,A,S_UENO04
001,S_DMOD04Z,A,S_DDIC_AEW
001,S_DMOD04Z,A,S_UDMO04Z
001,S_DMOD04Z,A,S_UENO04Z
001,S_ENTW,A,P_PLAN_ALL
001,S_ENTW,A,S_ADM
001,S_ENTW,A,S_ANUEB
001,S_ENTW,A,S_EUMG
001,S_ENTW,A,S_ZENTR
001,S_ENTW,A,Z_TRANS_P_D
001,S_ENTWBC,A,SAP_NEW
001,S_ENTWBC,A,S_BCDEV
001,S_ENTWBC,A,S_CTS_PROJEC
001,S_ENTWBC,A,S_WEBDYNP
001,S_ENTWBC,A,T_56184365
001,S_EUMG,A,S_DEVELOP
001,S_IWB_ACTS,A,S_IWB_ALL_CH
001,S_IWB_ACTS,A,S_IWB_ALL_CR
001,S_IWB_ACTS,A,S_IWB_ALL_DE
001,S_IWB_ACTS,A,S_IWB_ALL_DI
001,S_PROG1,A,S_DDIC_AEW
001,S_PROG1,A,S_FUGR01
001,S_PROG1,A,S_PROG01
001,S_PROG1,A,S_PROG_AEW
001,S_PROG1Z,A,S_DDIC_AEW
001,S_PROG1Z,A,S_FUGR01Z
001,S_PROG1Z,A,S_PROG01Z
001,S_PROG1Z,A,S_PROG_AEW
001,S_PROG2,A,S_DDIC_AEW
001,S_PROG2,A,S_FUGR02
001,S_PROG2,A,S_PROG02
001,S_PROG2,A,S_PROG_AEW
001,S_PROG2Z,A,S_DDIC_AEW
001,S_PROG2Z,A,S_FUGR02Z
001,S_PROG2Z,A,S_PROG02Z
001,S_PROG2Z,A,S_PROG_AEW
001,S_PROG3,A,S_DDIC_AEW
001,S_PROG3,A,S_FUGR03
001,S_PROG3,A,S_PROG03
001,S_PROG3,A,S_PROG_AEW
001,S_PROG3Z,A,S_DDIC_AEW
001,S_PROG3Z,A,S_FUGR03Z
001,S_PROG3Z,A,S_PROG03Z
001,S_PROG3Z,A,S_PROG_AEW
001,S_PROG4,A,S_DDIC_AEW
001,S_PROG4,A,S_FUGR04
001,S_PROG4,A,S_PROG04
001,S_PROG4,A,S_PROG_AEW
001,S_PROG4Z,A,S_DDIC_AEW
001,S_PROG4Z,A,S_FUGR04Z
001,S_PROG4Z,A,S_PROG04Z
001,S_PROG4Z,A,S_PROG_AEW
001,S_PROG5,A,S_DDIC_AEW
001,S_PROG5,A,S_DIAL01
001,S_PROG5,A,S_LDBA01
001,S_PROG5,A,S_MENU01
001,S_PROG5,A,S_PROG_AEW
001,S_PROG5,A,S_TRAN01
