RISK_RATING_ID,CONSEQUENCE,LIKELIHOOD,C_X_L,CL,DEFAULT_MATRIX_RATING,RANGE,DEFAULT_RISK_CLASSIFICATION,DEFAULT_RISK_RANGE
182,4,4,16,44,Extreme 182,02,Extreme,Extreme 02
183,4,4,16,44,Extreme 183,03,Extreme,Extreme 03
184,4,4,16,44,Extreme 184,04,Extreme,Extreme 04
185,4,4,16,44,Extreme 185,05,Extreme,Extreme 05
186,4,4,16,44,Extreme 186,06,Extreme,Extreme 06
187,4,4,16,44,Extreme 187,07,Extreme,Extreme 07
188,4,4,16,44,Extreme 188,08,Extreme,Extreme 08
189,4,4,16,44,Extreme 189,09,Extreme,Extreme 09
190,4,4,16,44,Extreme 190,10,Extreme,Extreme 10
191,4,5,20,45,Extreme 191,01,Extreme,Extreme 01
192,4,5,20,45,Extreme 192,02,Extreme,Extreme 02
193,4,5,20,45,Extreme 193,03,Extreme,Extreme 03
194,4,5,20,45,Extreme 194,04,Extreme,Extreme 04
195,4,5,20,45,Extreme 195,05,Extreme,Extreme 05
196,4,5,20,45,Extreme 196,06,Extreme,Extreme 06
197,4,5,20,45,Extreme 197,07,Extreme,Extreme 07
198,4,5,20,45,Extreme 198,08,Extreme,Extreme 08
199,4,5,20,45,Extreme 199,09,Extreme,Extreme 09
200,4,5,20,45,Extreme 200,10,Extreme,Extreme 10
201,5,1,5,51,Very High 201,01,Very High,Very High 01
202,5,1,5,51,Very High 202,02,Very High,Very High 02
203,5,1,5,51,Very High 203,03,Very High,Very High 03
204,5,1,5,51,Very High 204,04,Very High,Very High 04
205,5,1,5,51,Very High 205,05,Very High,Very High 05
206,5,1,5,51,Very High 206,06,Very High,Very High 06
207,5,1,5,51,Very High 207,07,Very High,Very High 07
208,5,1,5,51,Very High 208,08,Very High,Very High 08
209,5,1,5,51,Very High 209,09,Very High,Very High 09
210,5,1,5,51,Very High 210,10,Very High,Very High 10
211,5,2,10,52,Extreme 211,01,Extreme,Extreme 01
212,5,2,10,52,Extreme 212,02,Extreme,Extreme 02
213,5,2,10,52,Extreme 213,03,Extreme,Extreme 03
214,5,2,10,52,Extreme 214,04,Extreme,Extreme 04
215,5,2,10,52,Extreme 215,05,Extreme,Extreme 05
216,5,2,10,52,Extreme 216,06,Extreme,Extreme 06
217,5,2,10,52,Extreme 217,07,Extreme,Extreme 07
218,5,2,10,52,Extreme 218,08,Extreme,Extreme 08
219,5,2,10,52,Extreme 219,09,Extreme,Extreme 09
220,5,2,10,52,Extreme 220,10,Extreme,Extreme 10
221,5,3,15,53,Extreme 221,01,Extreme,Extreme 01
222,5,3,15,53,Extreme 222,02,Extreme,Extreme 02
223,5,3,15,53,Extreme 223,03,Extreme,Extreme 03
224,5,3,15,53,Extreme 224,04,Extreme,Extreme 04
225,5,3,15,53,Extreme 225,05,Extreme,Extreme 05
226,5,3,15,53,Extreme 226,06,Extreme,Extreme 06
227,5,3,15,53,Extreme 227,07,Extreme,Extreme 07
228,5,3,15,53,Extreme 228,08,Extreme,Extreme 08
229,5,3,15,53,Extreme 229,09,Extreme,Extreme 09
230,5,3,15,53,Extreme 230,10,Extreme,Extreme 10
231,5,4,20,54,Extreme 231,01,Extreme,Extreme 01
232,5,4,20,54,Extreme 232,02,Extreme,Extreme 02
233,5,4,20,54,Extreme 233,03,Extreme,Extreme 03
234,5,4,20,54,Extreme 234,04,Extreme,Extreme 04
235,5,4,20,54,Extreme 235,05,Extreme,Extreme 05
236,5,4,20,54,Extreme 236,06,Extreme,Extreme 06
237,5,4,20,54,Extreme 237,07,Extreme,Extreme 07
238,5,4,20,54,Extreme 238,08,Extreme,Extreme 08
239,5,4,20,54,Extreme 239,09,Extreme,Extreme 09
240,5,4,20,54,Extreme 240,10,Extreme,Extreme 10
241,5,5,25,55,Extreme 241,01,Extreme,Extreme 01
242,5,5,25,55,Extreme 242,02,Extreme,Extreme 02
243,5,5,25,55,Extreme 243,03,Extreme,Extreme 03
244,5,5,25,55,Extreme 244,04,Extreme,Extreme 04
245,5,5,25,55,Extreme 245,05,Extreme,Extreme 05
246,5,5,25,55,Extreme 246,06,Extreme,Extreme 06
247,5,5,25,55,Extreme 247,07,Extreme,Extreme 07
248,5,5,25,55,Extreme 248,08,Extreme,Extreme 08
249,5,5,25,55,Extreme 249,09,Extreme,Extreme 09
250,5,5,25,55,Extreme 250,10,Extreme,Extreme 10
